dataset,method,params,wall_time_mean±std,train_time_mean±std,peak_alloc_mean±std,peak_reserved_mean±std
PascalVOC-SP,Cosine 30→10,314725.0,4335.4 ± 560.0 s,4238.2 ± 559.4 s,1093.9 ± 0.7 MB,1176.7 ± 1.2 MB
PascalVOC-SP,Fixed k=15,314725.0,3128.9 ± 1638.3 s,3032.2 ± 1638.2 s,966.1 ± 0.3 MB,1018.0 ± 0.0 MB
PascalVOC-SP,Hybrid 30→10,314725.0,4305.1 ± 1658.2 s,4207.6 ± 1659.0 s,1024.4 ± 0.7 MB,1170.7 ± 2.3 MB
PascalVOC-SP,Layerwise 30→10,314725.0,3898.1 ± 1501.9 s,3801.6 ± 1501.7 s,1024.4 ± 0.7 MB,1070.7 ± 2.3 MB
Peptides-Func,Cosine 45→5,313934.0,1540.8 ± 177.2 s,1536.6 ± 177.2 s,3013.0 ± 7.5 MB,3410.7 ± 10.1 MB
Peptides-Func,Fixed k=15,313934.0,1639.2 ± 19.8 s,1635.0 ± 19.8 s,2122.8 ± 6.6 MB,2308.7 ± 1.2 MB
Peptides-Func,Hybrid 45→5,313934.0,1697.5 ± 79.9 s,1693.0 ± 79.8 s,2633.6 ± 7.5 MB,3197.3 ± 3.1 MB
Peptides-Func,Layerwise 45→5,313934.0,1500.6 ± 77.8 s,1496.6 ± 77.7 s,2633.6 ± 7.5 MB,2801.3 ± 9.5 MB
Peptides-Struct,Cosine 45→5,313987.0,1053.2 ± 146.2 s,1049.1 ± 146.4 s,3013.0 ± 7.5 MB,3405.3 ± 11.5 MB
Peptides-Struct,Fixed k=15,313987.0,1643.3 ± 10.0 s,1639.3 ± 10.0 s,2122.8 ± 6.6 MB,2308.0 ± 0.0 MB
Peptides-Struct,Hybrid 45→5,313987.0,1103.0 ± 179.3 s,1098.7 ± 179.3 s,2633.6 ± 7.5 MB,3188.0 ± 2.0 MB
Peptides-Struct,Layerwise 45→5,313987.0,1061.7 ± 156.6 s,1057.8 ± 156.6 s,2633.6 ± 7.5 MB,2794.7 ± 11.5 MB
