dataset,method,metric_name,test_mean±std,val_mean±std,best_epoch_mean±std,epochs_completed_mean±std,n
PascalVOC-SP,Cosine 30→10,F1,47.9884 ± 0.9728,47.6385 ± 1.1906,30.7 ± 11.7,52.7 ± 6.7,3
PascalVOC-SP,Fixed k=15,F1,47.2283 ± 7.5282,46.8656 ± 7.2009,15.0 ± 24.2,37.3 ± 19.6,3
PascalVOC-SP,Hybrid 30→10,F1,50.3542 ± 5.6629,50.0689 ± 5.2096,30.0 ± 25.5,48.7 ± 19.6,3
PascalVOC-SP,Layerwise 30→10,F1,49.6250 ± 3.1290,49.2793 ± 3.2734,22.3 ± 18.5,47.3 ± 18.5,3
Peptides-Func,Cosine 45→5,AP,61.1350 ± 1.6675,62.5055 ± 0.7750,33.0 ± 5.2,45.0 ± 5.2,3
Peptides-Func,Fixed k=15,AP,63.0123 ± 0.6749,64.9314 ± 0.7562,43.7 ± 2.3,50.0 ± 0.0,3
Peptides-Func,Hybrid 45→5,AP,61.4472 ± 0.4822,63.0730 ± 0.3264,36.0 ± 2.6,48.0 ± 2.6,3
Peptides-Func,Layerwise 45→5,AP,60.7681 ± 0.7396,62.3949 ± 1.3322,33.3 ± 2.5,45.3 ± 2.5,3
Peptides-Struct,Cosine 45→5,MAE,0.2784 ± 0.0056,0.2707 ± 0.0059,18.0 ± 4.4,30.0 ± 4.4,3
Peptides-Struct,Fixed k=15,MAE,0.2652 ± 0.0039,0.2616 ± 0.0040,44.3 ± 1.2,50.0 ± 0.0,3
Peptides-Struct,Hybrid 45→5,MAE,0.2834 ± 0.0042,0.2771 ± 0.0039,18.7 ± 5.1,30.7 ± 5.1,3
Peptides-Struct,Layerwise 45→5,MAE,0.2812 ± 0.0085,0.2736 ± 0.0075,19.3 ± 4.6,31.3 ± 4.6,3
